Nome,Tipo,Área m2,Preço R$,quartos,suites,vagas
"SRTVS Bloco M Lote 12, ASA SUL, BRASILIA",Aluguel Loja 380 m²,380 m²,"R$  12.490
Valor m² R$  32",0,0,2
"SCS Quadra 08 Bloco B LoteS 50/60, ASA SUL, BRASILIA",Aluguel Sala 1261 m²,1261 m²,"R$  63.065
Valor m² R$  50",0,0,0
"SHS Quadra 6 Conjunto A Bloco C, ASA SUL, BRASILIA",Aluguel Loja 390 m²,390 m²,"R$  25.000
Valor m² R$  64",0,0,0
"SHS Quadra 06 Conjunto A Bloco D, ASA SUL, BRASILIA",Aluguel Loja 86 m²,86 m²,"R$  10.285
Valor m² R$  119",0,0,0
"SHIS QI 9/11 Bloco B, LAGO SUL, BRASILIA",Aluguel Loja 300 m²,300 m²,"R$  25.000
Valor m² R$  83",0,0,0
"EQS 114/115, ASA SUL, BRASILIA",Aluguel Loja 70 m²,70 m²,"R$  4.500
Valor m² R$  64",0,0,0
"SQSW 500, SUDOESTE, BRASILIA",Aluguel Apartamento 178 m²,178 m²,"R$  26.000
Valor m² R$  146",4,4,3
"SHIS QI 11 Conjunto 3, LAGO SUL, BRASILIA",Aluguel Casa 750 m²,750 m²,"R$  31.000
Valor m² R$  41",5,5,6
"Ville de Montagne, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 610 m²,610 m²,"R$  19.500
Valor m² R$  31",4,2,2
"SMDB Conjunto 18, LAGO SUL, BRASILIA",Aluguel Casa 630 m²,630 m²,"R$  39.000
Valor m² R$  61",5,5,2
"Condomínio Morada de Deus, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 500 m²,500 m²,"R$  7.500
Valor m² R$  15",5,3,4
"Condomínio Ouro Vermelho I, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 850 m²,850 m²,"R$  11.000
Valor m² R$  12",5,2,3
"Condomínio Solar de Brasília, JARDIM BOTANICO, BRASILIA",Aluguel Casa 800 m²,800 m²,"R$  14.000
Valor m² R$  17",4,4,4
"SHIS QL 22 Conjunto 3, LAGO SUL, BRASILIA",Aluguel Casa 400 m²,400 m²,"R$  13.000
Valor m² R$  32",4,1,4
"SHIS QI 15, LAGO SUL, BRASILIA",Aluguel Sala 791 m²,791 m²,"R$  142.380
Valor m² R$  180",0,0,0
"SQS 104, ASA SUL, BRASILIA",Aluguel Apartamento 153 m²,153 m²,"R$  10.000
Valor m² R$  65",4,1,2
"Ville de Montagne, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 798 m²,798 m²,"R$  25.000
Valor m² R$  31",3,3,3
"Condomínio Resid Maxximo Garden, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 600 m²,600 m²,"R$  13.900
Valor m² R$  23",5,4,4
"SGCV, PARK SUL, BRASILIA",Aluguel Ponto Comercial 1490 m²,1490 m²,"R$  89.400
Valor m² R$  60",0,0,0
"Condomínio Querência, JARDIM BOTANICO, BRASILIA",Aluguel Casa 280 m²,280 m²,"R$  8.999
Valor m² R$  32",3,3,0
"SEPN 516 Bloco B, ASA NORTE, BRASILIA",Aluguel Sala 472 m²,472 m²,"R$  26.173
Valor m² R$  55",0,0,0
"Condomínio Solar da Serra, JARDIM BOTANICO, BRASILIA",Aluguel Casa 681 m²,681 m²,"R$  5.500
Valor m² R$  8",3,1,6
"SHN Quadra 1, ASA NORTE, BRASILIA",Aluguel Sala 351 m²,351 m²,"R$  21.060
Valor m² R$  60",0,0,8
"Area ComErcio Local 1, JARDINS MANGUEIRAL, BRASILIA",Aluguel Sala 29 m²,29 m²,"R$  1.982
Valor m² R$  68",0,0,0
"SQS 409 Bloco H, ASA SUL, BRASILIA",Aluguel Apartamento 86 m²,86 m²,"R$  4.200
Valor m² R$  48",3,1,0
"SCS Quadra 08 Bloco B LoteS 50/60, ASA SUL, BRASILIA",Aluguel Sala 300 m²,300 m²,"R$  18.033
Valor m² R$  60",0,0,0
"SHIS QL 12 Conjunto 9, LAGO SUL, BRASILIA",Aluguel Casa 1190 m²,1190 m²,"R$  60.000
Valor m² R$  50",17,4,6
"CCSW 1, SUDOESTE, BRASILIA",Aluguel Apartamento 26 m²,26 m²,"R$  4.500
Valor m² R$  173",0,1,0
"SMPW Quadra 8, PARK WAY, BRASILIA",Aluguel Casa 1000 m²,1000 m²,"R$  20.900
Valor m² R$  20",6,6,0
"Condomínio Mansões Serranas, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 240 m²,240 m²,"R$  6.300
Valor m² R$  26",3,2,3
"Chácaras Estância Santa Paula, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 400 m²,400 m²,"R$  4.000
Valor m² R$  10",3,1,5
"SCES Trecho 4, ASA SUL, BRASILIA",Aluguel Apartamento 52 m²,52 m²,"R$  4.700
Valor m² R$  90",0,1,0
"SBS Quadra 2, ASA SUL, BRASILIA",Aluguel Sala 227 m²,227 m²,"R$  27.600
Valor m² R$  121",0,0,0
"CLNW 10/11 Lote F, NOROESTE, BRASILIA",Aluguel Apartamento 50 m²,50 m²,"R$  3.014
Valor m² R$  60",0,0,0
"SQS 312 Bloco J, ASA SUL, BRASILIA",Aluguel Apartamento 320 m²,320 m²,"R$  15.500
Valor m² R$  48",4,3,2
"Ville de Montagne, JARDIM BOTANICO, BRASILIA",Aluguel Casa 470 m²,470 m²,"R$  12.600
Valor m² R$  26",4,4,4
"SQS 409 Bloco R, ASA SUL, BRASILIA",Aluguel Apartamento 86 m²,86 m²,"R$  4.500
Valor m² R$  52",3,0,0
"EQ 09/10 Bloco E, JARDIM BOTANICO, BRASILIA",Aluguel Sala 35 m²,35 m²,"R$  1.688
Valor m² R$  48",0,0,0
"SEPN 516 Bloco E, ASA NORTE, BRASILIA",Aluguel Loja 147 m²,147 m²,"R$  35.000
Valor m² R$  238",0,0,0
"Condomínio Querência, JARDIM BOTANICO, BRASILIA",Aluguel Casa 230 m²,230 m²,"R$  6.000
Valor m² R$  26",3,3,0
"SHDB QL 32 Conjunto 14, LAGO SUL, BRASILIA",Aluguel Casa 730 m²,730 m²,"R$  19.750
Valor m² R$  27",5,3,2
"Avenida dos Engenheiros, VILA PLANALTO, BRASILIA",Aluguel Kitnet 23 m²,23 m²,"R$  1.800
Valor m² R$  78",0,1,0
"SHS Quadra 06 Conjunto A Bloco E, ASA SUL, BRASILIA",Aluguel Sala 42 m²,42 m²,"R$  5.000
Valor m² R$  119",0,0,0
"SQNW 307 Bloco I, NOROESTE, BRASILIA",Aluguel Apartamento 84 m²,84 m²,"R$  5.800
Valor m² R$  68",2,1,0
"CLNW 10/11 Lote F, NOROESTE, BRASILIA",Aluguel Galpão 199 m²,199 m²,"R$  6.965
Valor m² R$  35",0,0,0
"SHIS QL 24 Conjunto 3, LAGO SUL, BRASILIA",Aluguel Casa 645 m²,645 m²,"R$  18.000
Valor m² R$  27",4,1,4
"Condomínio Jardim Atlântico Sul, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 335 m²,335 m²,"R$  10.800
Valor m² R$  32",4,4,2
"Praça de Atividades 1, JARDINS MANGUEIRAL, BRASILIA",Aluguel Sala 40 m²,40 m²,"R$  1.800
Valor m² R$  45",0,0,0
"SHTN Trecho 1, ASA NORTE, BRASILIA",Aluguel Apartamento 53 m²,53 m²,"R$  6.841
Valor m² R$  129",0,0,0
"SHIS QI 15 Chacará S 33 A 40, LAGO SUL, BRASILIA",Aluguel Casa 825 m²,825 m²,"R$  45.000
Valor m² R$  54",5,5,16
"SCN Quadra 05 Bloco A, ASA NORTE, BRASILIA",Aluguel Sala 33 m²,33 m²,"R$  2.300
Valor m² R$  69",0,0,0
"Condomínio Jardim Botânico I, JARDIM BOTANICO, BRASILIA",Aluguel Apartamento 25 m²,25 m²,"R$  2.300
Valor m² R$  92",0,0,0
"Condomínio Estancia Quintas da Alvorada, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 389 m²,389 m²,"R$  11.000
Valor m² R$  28",4,2,2
"SHIS QL 8, LAGO SUL, BRASILIA",Aluguel Casa 1062 m²,1062 m²,"R$  53.000
Valor m² R$  49",8,5,28
"Rodovia DF 001 Altiplano Leste, ALTIPLANO LESTE, BRASILIA",Aluguel Casa 500 m²,500 m²,"R$  7.800
Valor m² R$  15",4,2,4
"SHIS QL 6, LAGO SUL, BRASILIA",Aluguel Casa 450 m²,450 m²,"R$  22.000
Valor m² R$  48",4,1,4
"SHS Quadra 6 Conjunto A Bloco C, ASA SUL, BRASILIA",Aluguel Sala 50 m²,50 m²,"R$  5.500
Valor m² R$  110",0,0,0
"CCSW 1, SUDOESTE, BRASILIA",Aluguel Kitnet 26 m²,26 m²,"R$  4.700
Valor m² R$  180",0,1,0
"SEPN 516 Bloco E, ASA NORTE, BRASILIA",Aluguel Sala 323 m²,323 m²,"R$  18.500
Valor m² R$  57",0,0,0
"Condomínio Quintas da Alvorada, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 550 m²,550 m²,"R$  15.000
Valor m² R$  27",4,2,4
"SBS Quadra 2, ASA SUL, BRASILIA",Aluguel Sala 480 m²,480 m²,"R$  72.000
Valor m² R$  149",0,0,0
"CCSW 1, SUDOESTE, BRASILIA",Aluguel Apartamento 26 m²,26 m²,"R$  4.900
Valor m² R$  188",0,1,0
"SHIS QL 4 Conjunto 1, LAGO SUL, BRASILIA",Aluguel Casa 970 m²,970 m²,"R$  15.000
Valor m² R$  15",4,3,6
"SEPN 505 Bloco A, ASA NORTE, BRASILIA",Aluguel Prédio 1318 m²,1318 m²,"R$  150.000
Valor m² R$  113",0,0,0
"SEPN 516 Bloco E, ASA NORTE, BRASILIA",Aluguel Sala 554 m²,554 m²,"R$  21.530
Valor m² R$  38",0,0,0
"CCSW 1, SUDOESTE, BRASILIA",Aluguel Kitnet 26 m²,26 m²,"R$  4.900
Valor m² R$  188",0,1,0
"SIG Quadra 3 Bloco C, SIG, BRASILIA",Aluguel Loja 384 m²,384 m²,"R$  18.000
Valor m² R$  46",0,0,0
"Condomínio Ouro Vermelho II, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 160 m²,160 m²,"R$  4.000
Valor m² R$  25",4,2,0
"CCSW 1, SUDOESTE, BRASILIA",Aluguel Kitnet 26 m²,26 m²,"R$  4.500
Valor m² R$  173",0,1,0
"Rodovia DF 001 Altiplano Leste, ALTIPLANO LESTE, BRASILIA",Aluguel Casa 350 m²,350 m²,"R$  8.200
Valor m² R$  23",4,4,4
"Condomínio Querência, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 267 m²,267 m²,"R$  9.900
Valor m² R$  37",3,3,4
"SIG Quadra 4, SIG, BRASILIA",Aluguel Sala 177 m²,177 m²,"R$  25.000
Valor m² R$  141",0,0,0
"SCS Quadra 02 Bloco C Lote 180, ASA SUL, BRASILIA",Aluguel Prédio 1176 m²,1176 m²,"R$  49.042
Valor m² R$  41",0,0,0
"SHS Quadra 06 Conjunto A Bloco E, ASA SUL, BRASILIA",Aluguel Sala 131 m²,131 m²,"R$  16.375
Valor m² R$  125",0,0,0
"SEPN 516 Bloco E, ASA NORTE, BRASILIA",Aluguel Sala 528 m²,528 m²,"R$  30.000
Valor m² R$  56",0,0,0
"SHS Quadra 6 Conjunto A Bloco C, ASA SUL, BRASILIA",Aluguel Loja 390 m²,390 m²,"R$  25.000
Valor m² R$  64",0,0,0
"SBS Quadra 02 Bloco S Lote 01, ASA SUL, BRASILIA",Aluguel Sala 255 m²,255 m²,"R$  12.000
Valor m² R$  46",0,0,2
"SHS Quadra 06 Conjunto A Bloco E, ASA SUL, BRASILIA",Aluguel Sala 34 m²,34 m²,"R$  3.726
Valor m² R$  109",0,0,0
"SGCV Lote 27, PARK SUL, BRASILIA",Aluguel Apartamento 70 m²,70 m²,"R$  7.000
Valor m² R$  100",2,2,0
"SHIS QI 19, LAGO SUL, BRASILIA",Aluguel Casa 565 m²,565 m²,"R$  25.000
Valor m² R$  44",4,2,4
"SBS Quadra 02 Bloco S Lote 01, ASA SUL, BRASILIA",Aluguel Sala 30 m²,30 m²,"R$  850
Valor m² R$  28",0,0,0
"CCSW 2 Lote 3, SUDOESTE, BRASILIA",Aluguel Apartamento 115 m²,115 m²,"R$  7.000
Valor m² R$  60",2,2,0
"SGCV Lote 13, PARK SUL, BRASILIA",Aluguel Apartamento 28 m²,28 m²,"R$  2.850
Valor m² R$  101",0,1,0
"SHS Quadra 6 Conjunto A Bloco C, ASA SUL, BRASILIA",Aluguel Sala 28 m²,28 m²,"R$  3.080
Valor m² R$  110",0,0,0
"Sítio Forquilha Rua 5, JARDIM BOTANICO, BRASILIA",Aluguel Casa 254 m²,254 m²,"R$  10.500
Valor m² R$  41",3,3,2
"EQS 114/115, ASA SUL, BRASILIA",Aluguel Sala 27 m²,27 m²,"R$  2.500
Valor m² R$  92",0,0,0
"CLNW 10/11 Lote C, NOROESTE, BRASILIA",Aluguel Apartamento 32 m²,32 m²,"R$  2.600
Valor m² R$  81",0,0,0
"SHTN Trecho 1, ASA NORTE, BRASILIA",Aluguel Apartamento 60 m²,60 m²,"R$  4.290
Valor m² R$  71",2,1,2
"SQN 116 Bloco B, ASA NORTE, BRASILIA",Aluguel Apartamento 339 m²,339 m²,"R$  22.000
Valor m² R$  64",3,3,3
"QC 11 Rua I, JARDINS MANGUEIRAL, BRASILIA",Aluguel Casa 131 m²,131 m²,"R$  4.500
Valor m² R$  34",3,1,3
"SHS Quadra 06 Conjunto A Bloco E, ASA SUL, BRASILIA",Aluguel Sala 42 m²,42 m²,"R$  4.200
Valor m² R$  100",0,0,0
"SEPN 516 Bloco E, ASA NORTE, BRASILIA",Aluguel Sala 372 m²,372 m²,"R$  21.000
Valor m² R$  56",0,0,0
"SHIS QI 28, LAGO SUL, BRASILIA",Aluguel Casa 620 m²,620 m²,"R$  19.900
Valor m² R$  32",4,4,3
"Condomínio Querência, JARDIM BOTANICO, BRASILIA",Aluguel Casa 257 m²,257 m²,"R$  8.999
Valor m² R$  35",3,3,2
"SHIS QL 28 Conjunto 4, LAGO SUL, BRASILIA",Aluguel Casa 447 m²,447 m²,"R$  23.400
Valor m² R$  52",4,4,2
"CLNW 10/11 Lote K, NOROESTE, BRASILIA",Aluguel Apartamento 20 m²,20 m²,"R$  2.200
Valor m² R$  110",0,0,0
"SEPN 516 Bloco E, ASA NORTE, BRASILIA",Aluguel Sala 696 m²,696 m²,"R$  24.379
Valor m² R$  35",0,0,0
"SHTN Trecho 1, ASA NORTE, BRASILIA",Aluguel Apartamento 60 m²,60 m²,"R$  4.290
Valor m² R$  71",2,1,2
"SQNW 303 Bloco F, NOROESTE, BRASILIA",Aluguel Apartamento 201 m²,201 m²,"R$  17.500
Valor m² R$  87",4,4,4
"SHIS QI 15, LAGO SUL, BRASILIA",Aluguel Sala 141 m²,141 m²,"R$  28.100
Valor m² R$  199",0,0,0
"SHS Quadra 06 Conjunto A Bloco E, ASA SUL, BRASILIA",Aluguel Sala 50 m²,50 m²,"R$  6.000
Valor m² R$  120",0,0,0
"Condomínio Solar de Brasília, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 400 m²,400 m²,"R$  14.000
Valor m² R$  35",4,3,4
"SGCV, PARK SUL, BRASILIA",Aluguel Apartamento 96 m²,96 m²,"R$  7.500
Valor m² R$  78",3,1,2
"SQS 106 Bloco G, ASA SUL, BRASILIA",Aluguel Apartamento 140 m²,140 m²,"R$  6.500
Valor m² R$  46",3,1,0
"SQS 105 Bloco C, ASA SUL, BRASILIA",Aluguel Apartamento 150 m²,150 m²,"R$  11.500
Valor m² R$  76",3,1,0
"SQNW 107 Bloco F, NOROESTE, BRASILIA",Aluguel Apartamento 77 m²,77 m²,"R$  5.900
Valor m² R$  76",2,1,0
"SIG Quadra 4, SIG, BRASILIA",Aluguel Sala 245 m²,245 m²,"R$  20.825
Valor m² R$  85",0,0,0
"SIG Quadra 8, SIG, BRASILIA",Aluguel Prédio 1050 m²,1050 m²,"R$  38.000
Valor m² R$  36",0,0,0
"SQSW 100 Bloco G, SUDOESTE, BRASILIA",Aluguel Apartamento 197 m²,197 m²,"R$  11.000
Valor m² R$  55",3,2,2
"SCS Quadra 6, ASA SUL, BRASILIA",Aluguel Sala 77 m²,77 m²,"R$  2.200
Valor m² R$  28",0,0,0
"SQNW 302 Bloco A, NOROESTE, BRASILIA",Aluguel Apartamento 81 m²,81 m²,"R$  6.200
Valor m² R$  76",2,2,2
"QC 15, JARDINS MANGUEIRAL, BRASILIA",Aluguel Casa 58 m²,58 m²,"R$  2.900
Valor m² R$  50",2,0,2
"SHIS QI 3 Conjunto 2, LAGO SUL, BRASILIA",Aluguel Casa 400 m²,400 m²,"R$  29.500
Valor m² R$  73",4,4,6
"CLN 309 Bloco D, ASA NORTE, BRASILIA",Aluguel Sala 29 m²,29 m²,"R$  1.035
Valor m² R$  35",0,0,0
"SQN 209 Bloco K, ASA NORTE, BRASILIA",Aluguel Apartamento 140 m²,140 m²,"R$  7.600
Valor m² R$  54",4,1,0
"SHTN Trecho 2 Lote 3, ASA NORTE, BRASILIA",Aluguel Apartamento 32 m²,32 m²,"R$  3.000
Valor m² R$  93",0,0,0
"SCS Quadra 05 Bloco B Lote 74, ASA SUL, BRASILIA",Aluguel Loja 30 m²,30 m²,"R$  1.000
Valor m² R$  33",0,0,0
"SHIS QI 9/11 Bloco M, LAGO SUL, BRASILIA",Aluguel Loja 50 m²,50 m²,"R$  4.500
Valor m² R$  88",0,0,0
"SCLRN 716 Bloco C, ASA NORTE, BRASILIA",Aluguel Apartamento 45 m²,45 m²,"R$  1.600
Valor m² R$  35",0,1,0
"QMSW 4 Lote 4, SUDOESTE, BRASILIA",Aluguel Apartamento 50 m²,50 m²,"R$  3.200
Valor m² R$  64",2,0,0
"SMAS Trecho 1 C, PARK SUL, BRASILIA",Aluguel Apartamento 73 m²,73 m²,"R$  5.200
Valor m² R$  71",2,1,2
"SCS Quadra 6, ASA SUL, BRASILIA",Aluguel Loja 236 m²,236 m²,"R$  23.000
Valor m² R$  97",0,0,0
"SMDB Conjunto 16, LAGO SUL, BRASILIA",Aluguel Casa Condominio 470 m²,470 m²,"R$  26.000
Valor m² R$  55",4,4,3
"SMPW Quadra 1, PARK WAY, BRASILIA",Aluguel Casa Condominio 568 m²,568 m²,"R$  20.000
Valor m² R$  35",5,4,3
"Sítio Forquilha Rua 5, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 275 m²,275 m²,"R$  10.000
Valor m² R$  36",4,2,2
"Condomínio Resid Maxximo Garden, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 700 m²,700 m²,"R$  14.900
Valor m² R$  21",5,5,4
"SHN Quadra 1 Bloco A, ASA NORTE, BRASILIA",Aluguel Sala 85 m²,85 m²,"R$  6.500
Valor m² R$  76",0,0,0
"Condomínio Ouro Vermelho II, JARDIM BOTANICO, BRASILIA",Aluguel Casa 500 m²,500 m²,"R$  5.990
Valor m² R$  11",4,3,4
"SCRN 706/707 Bloco F, ASA NORTE, BRASILIA",Aluguel Loja 130 m²,130 m²,"R$  6.500
Valor m² R$  50",0,0,0
"SQNW 310 Bloco A, NOROESTE, BRASILIA",Aluguel Apartamento 155 m²,155 m²,"R$  12.500
Valor m² R$  80",4,4,2
"CLSW 105 Bloco C, SUDOESTE, BRASILIA",Aluguel Loja 72 m²,72 m²,"R$  9.900
Valor m² R$  135",0,0,0
"SBN Quadra 2, ASA NORTE, BRASILIA",Aluguel Sala 492 m²,492 m²,"R$  100
Valor m² R$  0",0,0,9
"SRTVS Conjunto D Blocos A, B E C Lote 05, ASA SUL, BRASILIA",Aluguel Sala 34 m²,34 m²,"R$  900
Valor m² R$  26",0,0,0
"SHN Quadra 5 Bloco D, ASA NORTE, BRASILIA",Aluguel Hotel Flat 100 m²,100 m²,"R$  6.800
Valor m² R$  68",0,1,2
"Condomínio Estancia Quintas da Alvorada, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 426 m²,426 m²,"R$  8.000
Valor m² R$  18",3,3,2
"SGCV, PARK SUL, BRASILIA",Aluguel Apartamento 32 m²,32 m²,"R$  3.200
Valor m² R$  100",0,0,0
"SQN 216 Bloco J, ASA NORTE, BRASILIA",Aluguel Apartamento 69 m²,69 m²,"R$  4.200
Valor m² R$  60",2,0,0
"SDN Lote Único, ASA NORTE, BRASILIA",Aluguel Sala 70 m²,70 m²,"R$  3.900
Valor m² R$  55",0,0,0
"Condomínio Solar da Serra, JARDIM BOTANICO, BRASILIA",Aluguel Casa 390 m²,390 m²,"R$  6.900
Valor m² R$  17",3,1,0
"SHLS Blocos A AO F, ASA SUL, BRASILIA",Aluguel Sala 40 m²,40 m²,"R$  950
Valor m² R$  23",0,0,0
"Condomínio Quintas do Sol, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 380 m²,380 m²,"R$  7.900
Valor m² R$  20",3,2,2
"SHN Quadra 1 Bloco F, ASA NORTE, BRASILIA",Aluguel Sala 1045 m²,1045 m²,"R$  99.275
Valor m² R$  95",0,0,24
"SQS 310 Bloco I, ASA SUL, BRASILIA",Aluguel Apartamento 199 m²,199 m²,"R$  15.500
Valor m² R$  77",4,2,2
"EQSW 303/304, SUDOESTE, BRASILIA",Aluguel Lote/Terreno/Área 3200 m²,3200 m²,"R$  95.000
Valor m² R$  29",0,0,0
"SAUS Quadra 05 Bloco N Lote 02, ASA SUL, BRASILIA",Aluguel Sala 25 m²,25 m²,"R$  750
Valor m² R$  29",0,0,0
"CLN 116 Bloco H, ASA NORTE, BRASILIA",Aluguel Loja 187 m²,187 m²,"R$  33.000
Valor m² R$  176",0,0,0
"SCEN Trecho 1 Conjunto 36, ASA NORTE, BRASILIA",Aluguel Apartamento 94 m²,94 m²,"R$  9.900
Valor m² R$  105",3,1,2
"SCES Trecho 4, ASA SUL, BRASILIA",Aluguel Apartamento 70 m²,70 m²,"R$  12.000
Valor m² R$  171",0,1,0
"SCN Quadra 02 Bloco A, ASA NORTE, BRASILIA",Aluguel Sala 278 m²,278 m²,"R$  18.000
Valor m² R$  64",0,0,0
"SHN Quadra 2 Bloco J, ASA NORTE, BRASILIA",Aluguel Hotel Flat 30 m²,30 m²,"R$  1.600
Valor m² R$  53",0,0,0
"SMHN Quadra 2 Bloco A, ASA NORTE, BRASILIA",Aluguel Sala 45 m²,45 m²,"R$  1.400
Valor m² R$  31",0,0,0
"SCES Trecho 4, ASA SUL, BRASILIA",Aluguel Hotel Flat 48 m²,48 m²,"R$  4.700
Valor m² R$  97",0,1,0
"CA 02, LAGO NORTE, BRASILIA",Aluguel Apartamento 57 m²,57 m²,"R$  4.000
Valor m² R$  70",2,0,0
"SGAN 607 Módulo B, ASA NORTE, BRASILIA",Aluguel Sala 29 m²,29 m²,"R$  1.700
Valor m² R$  58",0,0,0
"SCN Quadra 1 Bloco E, ASA NORTE, BRASILIA",Aluguel Sala 27 m²,27 m²,"R$  1.590
Valor m² R$  58",0,0,0
"SIG Quadra 8, SIG, BRASILIA",Aluguel Sala 105 m²,105 m²,"R$  4.500
Valor m² R$  42",0,0,0
"CLSW 102 Bloco C, SUDOESTE, BRASILIA",Aluguel Loja 214 m²,214 m²,"R$  27.000
Valor m² R$  126",0,0,0
"SQSW 305 Bloco K, SUDOESTE, BRASILIA",Aluguel Apartamento 154 m²,154 m²,"R$  9.000
Valor m² R$  58",4,2,2
"Condomínio Solar da Serra, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 250 m²,250 m²,"R$  5.950
Valor m² R$  23",3,1,2
"SHN Quadra 5 Bloco D, ASA NORTE, BRASILIA",Aluguel Hotel Flat 28 m²,28 m²,"R$  4.400
Valor m² R$  157",0,1,0
"QC 11, JARDINS MANGUEIRAL, BRASILIA",Aluguel Apartamento 48 m²,48 m²,"R$  2.000
Valor m² R$  41",2,0,0
"SQNW 307 Bloco I, NOROESTE, BRASILIA",Aluguel Apartamento 74 m²,74 m²,"R$  5.800
Valor m² R$  78",2,1,2
"SHDB QL 32 Conjunto 1, LAGO SUL, BRASILIA",Aluguel Apartamento 120 m²,120 m²,"R$  4.900
Valor m² R$  40",3,2,2
"CRS 514 Bloco B, ASA SUL, BRASILIA",Aluguel Loja 1500 m²,1500 m²,"R$  30.000
Valor m² R$  20",0,0,0
"SMPW Quadra 27 Conjunto 3, PARK WAY, BRASILIA",Aluguel Casa 500 m²,500 m²,"R$  6.800
Valor m² R$  13",5,4,2
"SCN Quadra 04 Bloco B, ASA NORTE, BRASILIA",Aluguel Sala 640 m²,640 m²,"R$  46.000
Valor m² R$  71",0,0,12
"SMPW Quadra 20, PARK WAY, BRASILIA",Aluguel Casa Condominio 600 m²,600 m²,"R$  13.000
Valor m² R$  21",5,5,3
"SHIS QL 2 Conjunto 2, LAGO SUL, BRASILIA",Aluguel Casa 1200 m²,1200 m²,"R$  14.900
Valor m² R$  12",5,4,6
"CCSW 2, SUDOESTE, BRASILIA",Aluguel Apartamento 36 m²,36 m²,"R$  4.000
Valor m² R$  111",0,0,0
"CLN 111 Bloco C, ASA NORTE, BRASILIA",Aluguel Sala 23 m²,23 m²,"R$  990
Valor m² R$  43",0,0,0
"STN, ASA NORTE, BRASILIA",Aluguel Sala 30 m²,30 m²,"R$  1.550
Valor m² R$  51",0,0,0
"CLN 102 Bloco D, ASA NORTE, BRASILIA",Aluguel Loja 58 m²,58 m²,"R$  2.600
Valor m² R$  44",0,0,0
"SHIS QI 26, LAGO SUL, BRASILIA",Aluguel Sala 42 m²,42 m²,"R$  1.500
Valor m² R$  35",0,0,0
"SCRN 708/709 Bloco G, ASA NORTE, BRASILIA",Aluguel Apartamento 42 m²,42 m²,"R$  2.000
Valor m² R$  47",0,1,0
"CLN 111 Bloco C, ASA NORTE, BRASILIA",Aluguel Sala 59 m²,59 m²,"R$  1.790
Valor m² R$  30",0,0,0
"SHIS QI 13 Bloco F, LAGO SUL, BRASILIA",Aluguel Loja 127 m²,127 m²,"R$  10.500
Valor m² R$  82",0,0,0
"SHTN Trecho 1, ASA NORTE, BRASILIA",Aluguel Apartamento 37 m²,37 m²,"R$  4.194
Valor m² R$  113",0,0,0
"SQS 303 Bloco D, ASA SUL, BRASILIA",Aluguel Apartamento 110 m²,110 m²,"R$  6.500
Valor m² R$  59",3,1,0
"SHIS QL 24 Conjunto 6, LAGO SUL, BRASILIA",Aluguel Casa 1200 m²,1200 m²,"R$  35.000
Valor m² R$  29",8,4,6
"SEPS 714/914, ASA SUL, BRASILIA",Aluguel Sala 35 m²,35 m²,"R$  1.200
Valor m² R$  34",0,0,0
"SMDB Conjunto 12, LAGO SUL, BRASILIA",Aluguel Loja 60 m²,60 m²,"R$  3.000
Valor m² R$  50",0,0,0
"SQS 413 Bloco C, ASA SUL, BRASILIA",Aluguel Apartamento 56 m²,56 m²,"R$  5.000
Valor m² R$  89",2,0,0
"SCN Quadra 02 Bloco A, ASA NORTE, BRASILIA",Aluguel Sala 490 m²,490 m²,"R$  34.000
Valor m² R$  69",0,0,11
"SAUS Quadra 5, ASA SUL, BRASILIA",Aluguel Prédio 4862 m²,4862 m²,"R$  250.000
Valor m² R$  51",0,0,56
"SCEN Trecho 1, ASA NORTE, BRASILIA",Aluguel Apartamento 71 m²,71 m²,"R$  10.500
Valor m² R$  145",2,1,2
"SHN Quadra 1 Bloco E, ASA NORTE, BRASILIA",Aluguel Sala 473 m²,473 m²,"R$  45.011
Valor m² R$  95",0,0,11
"SQNW 107 Bloco G, NOROESTE, BRASILIA",Aluguel Apartamento 213 m²,213 m²,"R$  14.000
Valor m² R$  65",3,3,3
"SDS Bloco H, ASA SUL, BRASILIA",Aluguel Loja 208 m²,208 m²,"R$  4.800
Valor m² R$  23",0,0,0
